City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.39,75,3,15.12,clear sky
1,Chuy,UY,-33.6971,-53.4616,58.42,91,100,3.36,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,52.27,72,3,7.31,clear sky
3,Antofagasta,CL,-23.65,-70.4,56.48,63,35,7.74,scattered clouds
4,Kapaa,US,22.0752,-159.319,73.38,79,11,12.08,moderate rain
5,San Cristobal,VE,7.7669,-72.225,77.05,57,98,4.47,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.7,71,8,19.24,clear sky
7,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,75,12.66,broken clouds
8,Staraya Poltavka,RU,50.4772,46.4814,95.13,12,100,9.06,overcast clouds
9,Avarua,CK,-21.2078,-159.775,66.25,100,75,1.14,broken clouds
10,Atambua,ID,-9.1061,124.8925,71.37,86,41,6.04,scattered clouds
11,Busselton,AU,-33.65,115.3333,53.1,84,0,8.72,clear sky
12,Hilo,US,19.7297,-155.09,73.8,90,40,3.44,scattered clouds
13,Kaitangata,NZ,-46.2817,169.8464,40.87,90,45,5.39,scattered clouds
14,Albany,US,42.6001,-73.9662,71.82,66,51,5.03,broken clouds
15,Chumphon,TH,10.3333,98.8333,71.2,98,100,1.3,light rain
16,Georgetown,MY,5.4112,100.3354,79.9,85,20,6.91,light rain
17,Cape Town,ZA,-33.9258,18.4232,69.12,44,10,6.87,clear sky
18,Montepuez,MZ,-13.1256,38.9997,83.32,29,20,3.69,few clouds
19,Chavakkad,IN,10.5333,76.05,80.67,85,100,8.81,overcast clouds
20,Zeya,RU,53.75,127.2667,60.69,74,18,3.29,few clouds
21,Boden,SE,65.8252,21.6886,60.8,87,100,6.35,overcast clouds
22,Salalah,OM,17.0151,54.0924,76.35,93,100,8.5,overcast clouds
23,Okha,RU,53.5739,142.9478,55.26,83,53,9.53,broken clouds
24,Saint Anthony,US,45.0205,-93.218,73.33,59,1,1.99,clear sky
25,Mataura,NZ,-46.1927,168.8643,48.47,90,50,4.23,scattered clouds
26,Hirara,JP,24.8,125.2833,83.17,79,1,11.07,clear sky
27,Tigil,RU,57.8,158.6667,51.39,93,56,8.97,broken clouds
28,Vaini,TO,-21.2,-175.2,69.12,62,13,16.62,few clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,67.55,97,98,5.01,overcast clouds
30,Butaritari,KI,3.0707,172.7902,82.6,74,9,9.04,clear sky
31,The Valley,AI,18.217,-63.0578,84.34,79,40,17.27,scattered clouds
32,Hay River,CA,60.8156,-115.7999,51.15,88,99,2.68,overcast clouds
33,Vardo,NO,70.3705,31.1107,49.15,69,54,16.67,broken clouds
34,Wittenheim,FR,47.8078,7.337,88.14,65,14,11.18,few clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,47.91,73,56,12.1,broken clouds
36,Pangai,TO,-19.8,-174.35,71.51,59,19,16.55,few clouds
37,Norman Wells,CA,65.282,-126.8329,50.04,100,90,3.44,light rain
38,Abha,SA,18.2164,42.5053,73.65,64,40,16.11,scattered clouds
39,Port Elizabeth,ZA,-33.918,25.5701,71.1,60,0,11.83,clear sky
40,Ushuaia,AR,-54.8,-68.3,40.05,95,100,6.24,overcast clouds
41,Bluff,NZ,-46.6,168.3333,48.79,78,100,17.67,overcast clouds
42,Kodinar,IN,20.7903,70.7031,81.01,80,99,12.41,overcast clouds
43,Lanzhou,CN,36.0564,103.7922,75.15,55,98,6.24,overcast clouds
44,Dunedin,NZ,-45.8742,170.5036,46.63,73,40,7.96,scattered clouds
45,Hobart,AU,-42.8794,147.3294,44.46,83,75,5.01,light intensity shower rain
46,Kodiak,US,57.79,-152.4072,48.07,72,91,5.26,overcast clouds
47,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,17.27,broken clouds
48,Harrison,US,30.4091,-89.0436,84.31,76,1,5.75,clear sky
49,Ambilobe,MG,-13.2,49.05,78.89,59,76,2.95,broken clouds
50,Dikson,RU,73.5069,80.5464,48.56,100,100,15.66,light rain
51,Bundaberg,AU,-24.85,152.35,60.22,93,0,1.01,clear sky
52,Dodge City,US,37.7528,-100.0171,72.25,85,1,7.0,clear sky
53,Kalabo,ZM,-14.97,22.6814,88.92,14,0,6.26,clear sky
54,Christchurch,NZ,-43.5333,172.6333,35.8,100,1,2.3,clear sky
55,Manggar,ID,-2.8833,108.2667,81.28,81,99,11.14,overcast clouds
56,Sassandra,CI,4.95,-6.0833,81.64,59,42,9.95,scattered clouds
57,Kamina,CD,-8.7386,24.9906,89.17,15,1,7.43,clear sky
58,Fairbanks,US,64.8378,-147.7164,48.6,89,90,3.44,light rain
59,Vrede,ZA,-27.4257,29.1659,51.78,70,96,6.35,overcast clouds
60,Ponta Do Sol,PT,32.6667,-17.1,89.13,41,88,3.0,overcast clouds
61,Namibe,AO,-15.1961,12.1522,75.45,66,7,13.33,clear sky
62,San Martin,AR,-33.081,-68.4681,52.5,31,98,4.47,overcast clouds
63,Half Moon Bay,US,37.4636,-122.4286,64.58,92,90,0.0,overcast clouds
64,Choix,MX,26.7092,-108.3219,74.86,82,84,3.76,broken clouds
65,Vallenar,CL,-28.5708,-70.7581,62.22,46,100,3.74,overcast clouds
66,Sinnamary,GF,5.3833,-52.95,76.35,91,100,10.58,light rain
67,Qaanaaq,GL,77.484,-69.3632,38.37,99,100,6.15,light rain
68,Xai-Xai,MZ,-25.0519,33.6442,70.36,57,53,10.2,broken clouds
69,Porto Novo,BJ,6.4965,2.6036,84.58,57,88,13.38,overcast clouds
70,Zhigalovo,RU,54.8097,105.1578,62.89,92,99,2.39,light rain
71,Ayan,RU,56.45,138.1667,62.92,83,86,2.93,overcast clouds
72,Mayumba,GA,-3.432,10.6554,76.8,80,93,9.89,overcast clouds
73,Punta Arenas,CL,-53.15,-70.9167,43.38,85,100,5.41,overcast clouds
74,Iqaluit,CA,63.7506,-68.5145,41.23,98,100,7.63,light rain
75,Lompoc,US,34.6391,-120.4579,59.63,92,90,6.91,mist
76,Tasiilaq,GL,65.6145,-37.6368,51.96,67,80,9.95,broken clouds
77,Kavaratti,IN,10.5669,72.642,81.18,79,100,18.37,overcast clouds
78,Touros,BR,-5.1989,-35.4608,85.1,57,14,18.48,few clouds
79,Schonebeck,DE,52.0167,11.75,85.08,41,97,5.91,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,64.65,62,0,11.05,clear sky
81,Juneau,US,58.3019,-134.4197,51.22,97,90,3.44,light rain
82,Nanortalik,GL,60.1432,-45.2371,50.29,93,100,4.99,overcast clouds
83,Hermanus,ZA,-34.4187,19.2345,69.8,61,7,3.53,clear sky
84,Marzuq,YE,14.4,46.4667,82.76,43,64,10.89,broken clouds
85,Tyrma,RU,50.0833,132.1667,59.36,95,73,1.36,broken clouds
