City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Inhambane,MZ,2021-08-04 14:37:59,-23.865,35.3833,75.18,50,20,9.04
1,Roebourne,AU,2021-08-04 14:39:33,-20.7833,117.1333,73.83,29,57,12.55
2,Port Alfred,ZA,2021-08-04 14:39:33,-33.5906,26.891,64.87,83,21,16.15
3,Ribeira Grande,PT,2021-08-04 14:39:34,38.5167,-28.7,79.2,73,20,10.36
4,Brae,GB,2021-08-04 14:39:34,60.3964,-1.353,60.71,75,100,8.34
5,Abu Zabad,SD,2021-08-04 14:39:34,12.35,29.25,85.39,55,91,11.48
6,Sept-Iles,CA,2021-08-04 14:36:28,50.2001,-66.3821,63.12,69,20,5.99
7,Bethel,US,2021-08-04 14:39:35,41.3712,-73.414,72.48,80,1,3.44
8,Provideniya,RU,2021-08-04 14:39:35,64.3833,-173.3,50.2,89,100,20.42
9,San Patricio,US,2021-08-04 14:39:35,28.017,-97.5169,84.29,64,82,2.98
10,Emerald,AU,2021-08-04 14:39:36,-23.5333,148.1667,51.94,40,2,8.05
11,Jamestown,US,2021-08-04 14:38:09,42.097,-79.2353,73.51,72,1,5.75
12,Lubben,DE,2021-08-04 14:39:36,51.95,13.9,73.85,60,34,4.45
13,Punta Arenas,CL,2021-08-04 14:39:36,-53.15,-70.9167,48.31,61,0,19.57
14,Opuwo,NA,2021-08-04 14:39:37,-18.0607,13.84,80.71,15,0,7.85
15,Rikitea,PF,2021-08-04 14:39:37,-23.1203,-134.9692,71.42,67,20,14.12
16,Moron,AR,2021-08-04 14:39:37,-34.6534,-58.6198,62.02,79,39,1.99
17,Sao Joao Da Barra,BR,2021-08-04 14:39:38,-21.6403,-41.0511,73.49,60,32,14.23
18,Yellowknife,CA,2021-08-04 14:38:41,62.456,-114.3525,50.56,71,90,3.44
19,Dosso,NE,2021-08-04 14:39:38,13.049,3.1937,95.18,39,19,7.45
20,Khatanga,RU,2021-08-04 14:39:38,71.9667,102.5,68.94,43,99,15.26
